,,,,,,,,
,,,,,,,,
Sales table,,,,,,,,
Sale_ID,Date,Dealer,,,,,,
1B3CC1FB6AN997417,5,,,,,,,
4T1BK1EB0FU753897,6,,,,,,,
WAUHF98PX6A881572,7,,,,,,,
2G61N5S37E9790603,8,,,,,,,
WVGEF9BP1ED981180,9,,,,,,,
SCBBP9ZA5DC636733,10,,,,,,,
1FTWW3B59AE573175,11,,,,,,,
1GYFC262X9R394695,12,,,,,,,
4A31K2DF2CE658240,13,,,,,,,
WP1AA2A22EL046217,14,,,,,,,
WAURD68D21A707471,15,,,,,,,
